Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,05:31,113,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.074,198.279,198.182,0.205
04-14-2017,06:31,114,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.078,198.288,198.170,0.616
04-14-2017,07:31,115,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.108,198.351,198.172,0.529
04-14-2017,08:32,116,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.069,198.234,198.155,0.468
04-14-2017,09:32,117,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.078,198.284,198.152,0.447
04-14-2017,10:33,118,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.082,198.290,198.145,0.448
04-14-2017,11:33,119,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.105,212.596,198.904,3.182
04-14-2017,12:34,120,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.118,198.336,198.177,0.348
04-14-2017,13:34,121,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.080,219.249,202.187,7.434
04-14-2017,14:35,122,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.072,198.304,198.169,0.616
04-14-2017,15:35,123,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.075,198.206,198.148,0.202
04-14-2017,16:36,124,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.107,198.244,198.164,0.145
04-14-2017,17:36,125,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.077,198.259,198.165,0.319
04-14-2017,18:36,126,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.078,198.291,198.189,0.582
04-14-2017,19:37,127,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.150,198.312,198.212,0.447
04-14-2017,20:37,128,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.065,198.281,198.189,0.565
04-14-2017,21:38,129,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.069,198.280,198.171,0.447
04-14-2017,22:38,130,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.152,212.589,199.968,4.039
04-14-2017,23:39,131,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.122,198.230,198.165,0.488
04-15-2017,00:39,132,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.136,198.289,198.194,0.318
04-15-2017,01:40,133,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.082,198.243,198.165,0.374
04-15-2017,02:40,134,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.109,198.262,198.174,0.469
04-15-2017,03:40,135,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.061,198.277,198.144,0.582
04-15-2017,04:41,136,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.057,206.067,198.898,2.259
04-15-2017,05:41,137,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.122,198.268,198.193,0.347
04-15-2017,06:42,138,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.092,199.180,198.214,0.266
04-15-2017,07:42,139,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.090,198.251,198.160,0.048
04-15-2017,08:43,140,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.111,198.253,198.161,0.528
04-15-2017,09:43,141,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.079,198.232,198.173,0.284
04-15-2017,10:44,142,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.088,198.241,198.171,0.204
04-15-2017,11:44,143,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.097,198.250,198.169,0.528
04-15-2017,12:44,144,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.064,198.326,198.187,0.208
04-15-2017,13:45,145,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.068,198.303,198.145,0.249
04-15-2017,14:45,146,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.111,198.313,198.191,0.046
04-15-2017,15:46,147,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.107,265.126,229.239,27.250
04-15-2017,16:46,148,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.070,198.305,198.205,0.376
04-15-2017,17:47,149,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.108,224.783,199.534,5.796
04-15-2017,18:47,150,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.142,239.887,200.608,9.108
04-15-2017,19:48,151,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.090,198.346,198.199,0.549
04-15-2017,20:48,152,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.116,198.277,198.175,0.318
04-15-2017,21:49,153,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.179,199.762,198.354,0.470
04-15-2017,22:49,154,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.131,198.327,198.218,0.376
04-15-2017,23:49,155,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.132,215.736,199.083,3.836
04-16-2017,00:50,156,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.077,220.923,199.310,4.990
04-16-2017,01:50,157,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.104,205.754,198.567,1.685
04-16-2017,02:51,158,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.127,219.123,199.260,4.568
04-16-2017,03:51,159,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.097,198.347,198.177,0.600
04-16-2017,04:52,160,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.119,198.299,198.195,0.565
04-16-2017,05:52,161,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.104,229.118,199.733,6.759
04-16-2017,06:53,162,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.092,219.393,206.675,9.850
04-16-2017,07:53,163,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.094,198.325,198.172,0.447
04-16-2017,08:53,164,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.082,198.212,198.148,0.144
04-16-2017,09:54,165,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.069,209.084,199.705,3.776
04-16-2017,10:54,166,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.072,198.235,198.155,0.468
04-16-2017,11:55,167,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.095,198.238,198.151,0.447
04-16-2017,12:55,168,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.144,267.119,240.500,20.050
04-16-2017,13:56,169,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.064,198.268,198.163,0.548
04-16-2017,14:56,170,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.052,198.268,198.162,0.347
04-16-2017,15:57,171,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.050,198.299,198.190,0.548
04-16-2017,16:57,172,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.094,198.241,198.158,0.424
04-16-2017,17:58,173,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.085,198.246,198.151,0.546
04-16-2017,18:58,174,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.061,198.343,198.192,0.287
04-16-2017,19:58,175,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.063,198.228,198.146,0.564
04-16-2017,20:59,176,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.066,198.328,198.161,0.531
04-16-2017,21:59,177,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.061,226.906,204.488,10.962
04-16-2017,23:00,178,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.054,198.325,198.172,0.377
04-17-2017,00:00,179,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.069,198.334,198.207,0.378
04-17-2017,01:01,180,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.194,218.931,214.350,7.148
04-17-2017,02:01,181,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.093,198.264,198.164,0.547
04-17-2017,03:02,182,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.101,198.442,198.211,0.494
04-17-2017,04:02,183,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.091,198.327,198.199,0.531
04-17-2017,05:02,184,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.095,230.719,199.817,7.089
04-17-2017,06:03,185,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.103,208.768,198.993,2.614
04-17-2017,07:03,186,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.062,247.135,216.276,22.237
04-17-2017,08:04,187,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.081,198.425,198.171,0.213
04-17-2017,09:04,188,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.070,198.261,198.154,0.348
04-17-2017,10:05,189,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.066,238.352,200.164,8.761
04-17-2017,11:05,190,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.043,198.321,198.179,0.066
04-17-2017,12:06,191,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.129,198.332,198.203,0.599
04-17-2017,13:06,192,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.044,198.231,198.171,0.047
04-17-2017,14:07,193,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.129,198.302,198.206,0.285
04-17-2017,15:07,194,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.097,209.890,198.817,2.584
04-17-2017,16:07,195,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.115,249.970,203.007,14.490
04-17-2017,17:08,196,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.099,198.420,198.201,0.323
04-17-2017,18:08,197,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.103,198.381,198.214,0.321
04-17-2017,19:09,198,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.152,205.769,198.692,1.692
04-17-2017,20:09,199,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.089,198.471,198.211,0.552
04-17-2017,21:10,200,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.143,198.298,198.223,0.400
04-17-2017,22:10,201,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.121,199.027,198.260,0.482
04-17-2017,23:11,202,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.092,198.341,198.213,0.510
04-18-2017,00:11,203,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.110,198.251,198.177,0.374
04-18-2017,01:11,204,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.186,199.110,198.453,0.371
04-18-2017,02:12,205,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.058,199.183,198.271,0.311
04-18-2017,03:12,206,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.101,198.322,198.209,0.286
04-18-2017,04:13,207,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.106,208.781,202.850,4.886
04-18-2017,05:13,208,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.089,240.441,200.352,9.211
04-18-2017,06:14,209,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.096,198.423,198.202,0.601
04-18-2017,07:14,210,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.058,198.274,198.159,0.565
04-18-2017,08:15,211,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.117,198.557,198.213,0.328
04-18-2017,09:15,212,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.046,198.350,198.168,0.351
04-18-2017,10:15,213,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.074,198.351,198.185,0.290
04-18-2017,11:16,214,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.075,198.221,198.145,0.528
04-18-2017,12:16,215,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.128,198.395,198.212,0.209
04-18-2017,13:17,216,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.109,258.786,216.116,14.353
04-18-2017,14:17,217,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.101,198.408,198.194,0.288
04-18-2017,15:18,218,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.109,199.122,198.225,0.492
04-18-2017,16:18,219,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.088,198.320,198.203,0.375
04-18-2017,17:19,220,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.091,198.329,198.185,0.490
04-18-2017,18:19,221,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.132,198.350,198.193,0.425
04-18-2017,19:19,222,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.096,221.041,209.815,10.510
04-18-2017,20:20,223,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.156,198.267,198.204,0.282
04-18-2017,21:21,224,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.094,198.480,198.238,0.497
04-18-2017,22:21,225,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.129,252.757,223.925,21.577
04-18-2017,23:22,226,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.142,204.901,198.588,1.569
04-19-2017,00:22,227,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.101,198.334,198.195,0.510
04-19-2017,01:22,228,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.106,198.521,198.202,0.355
04-19-2017,02:23,229,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.124,198.411,198.223,0.471
04-19-2017,03:23,230,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.083,198.375,198.183,0.427
04-19-2017,04:24,231,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.111,198.270,198.195,0.489
04-19-2017,05:24,232,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.118,198.697,198.204,0.609
04-19-2017,06:24,233,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.086,198.318,198.176,0.616
04-19-2017,07:25,234,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.158,225.903,213.280,11.274
04-19-2017,08:25,235,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.118,198.312,198.181,0.375
04-19-2017,09:26,236,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.058,198.292,198.151,0.616
04-19-2017,10:26,237,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.110,266.054,230.924,20.971
04-19-2017,11:27,238,20,planetlab1.cs.aueb.gr,ricepl-1.cs.rice.edu,20,20,0,198.115,198.264,198.178,0.146
