Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-15-2017,19:11,148,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,20,0,121.493,121.817,121.662,0.358
04-15-2017,20:11,149,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,20,0,121.540,121.781,121.624,0.063
04-15-2017,21:11,150,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,18,10,121.513,121.807,121.668,0.336
04-15-2017,22:12,151,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,20,0,121.515,121.817,121.649,0.448
04-15-2017,23:12,152,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,20,0,121.484,121.763,121.631,0.279
04-16-2017,00:12,153,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,20,0,121.527,121.781,121.648,0.404
04-16-2017,01:13,154,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,20,0,121.501,121.739,121.620,0.335
04-16-2017,02:13,155,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,20,0,121.570,121.804,121.668,0.300
04-16-2017,03:14,156,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,19,5,121.596,121.843,121.690,0.307
04-16-2017,04:14,157,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,20,0,121.587,121.847,121.697,0.473
04-16-2017,05:14,158,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,20,0,121.569,121.780,121.663,0.431
04-16-2017,06:15,159,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,20,0,121.539,121.923,121.718,0.283
04-16-2017,07:15,160,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,19,5,121.543,121.912,121.696,0.267
04-16-2017,08:15,161,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,20,0,121.537,121.891,121.689,0.407
04-16-2017,09:16,162,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,20,0,121.639,121.899,121.764,0.173
04-16-2017,10:16,163,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,20,0,121.664,121.930,121.783,0.126
04-16-2017,11:16,164,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,20,0,121.685,121.918,121.783,0.074
04-16-2017,12:17,165,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,20,0,121.530,121.836,121.723,0.446
04-16-2017,13:17,166,18,planetlab-2.cmcl.cs.cmu.edu,planetlab4.mini.pw.edu.pl,20,20,0,121.584,121.843,121.695,0.280
