Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,07:56,113,19,planetlab-n2.wand.net.nz,planetlab5.eecs.umich.edu,20,20,0,197.617,197.826,197.694,0.615
04-14-2017,08:57,114,16,planetlab-n2.wand.net.nz,planetlab5.eecs.umich.edu,20,20,0,199.316,199.593,199.435,0.075
04-14-2017,09:57,115,16,planetlab-n2.wand.net.nz,planetlab5.eecs.umich.edu,20,20,0,199.282,199.821,199.423,0.272
04-14-2017,10:58,116,16,planetlab-n2.wand.net.nz,planetlab5.eecs.umich.edu,20,20,0,199.340,199.715,199.509,0.386
04-14-2017,11:58,117,16,planetlab-n2.wand.net.nz,planetlab5.eecs.umich.edu,20,20,0,199.302,199.722,199.491,0.613
04-14-2017,12:59,118,16,planetlab-n2.wand.net.nz,planetlab5.eecs.umich.edu,20,20,0,199.308,199.776,199.462,0.301
04-14-2017,13:59,119,16,planetlab-n2.wand.net.nz,planetlab5.eecs.umich.edu,20,20,0,199.323,199.663,199.489,0.167
04-14-2017,15:00,120,16,planetlab-n2.wand.net.nz,planetlab5.eecs.umich.edu,20,20,0,199.331,199.654,199.448,0.166
04-14-2017,16:00,121,16,planetlab-n2.wand.net.nz,planetlab5.eecs.umich.edu,20,20,0,199.332,199.753,199.485,0.367
04-14-2017,17:01,122,16,planetlab-n2.wand.net.nz,planetlab5.eecs.umich.edu,20,20,0,199.314,199.665,199.435,0.517
04-14-2017,18:01,123,16,planetlab-n2.wand.net.nz,planetlab5.eecs.umich.edu,20,20,0,199.283,199.693,199.462,0.518
04-14-2017,19:01,124,16,planetlab-n2.wand.net.nz,planetlab5.eecs.umich.edu,20,20,0,199.346,199.696,199.460,0.434
04-14-2017,20:02,125,16,planetlab-n2.wand.net.nz,planetlab5.eecs.umich.edu,20,20,0,199.348,199.995,199.521,0.372
04-14-2017,21:02,126,16,planetlab-n2.wand.net.nz,planetlab5.eecs.umich.edu,20,20,0,199.291,199.789,199.492,0.340
04-14-2017,22:03,127,16,planetlab-n2.wand.net.nz,planetlab5.eecs.umich.edu,20,20,0,199.338,199.709,199.446,0.224
04-14-2017,23:03,128,16,planetlab-n2.wand.net.nz,planetlab5.eecs.umich.edu,20,20,0,199.314,213.420,200.241,3.059
04-15-2017,00:04,129,16,planetlab-n2.wand.net.nz,planetlab5.eecs.umich.edu,20,20,0,199.346,199.898,199.504,0.433
04-15-2017,01:04,130,20,planetlab-n2.wand.net.nz,planetlab5.eecs.umich.edu,20,20,0,199.309,199.569,199.439,0.620
