Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,07:58,113,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.231,168.395,168.282,0.469
04-14-2017,09:00,114,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.224,168.331,168.251,0.535
04-14-2017,10:02,115,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.231,168.289,168.260,0.430
04-14-2017,11:04,116,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.222,168.320,168.266,0.565
04-14-2017,12:06,117,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.215,168.442,168.250,0.451
04-14-2017,13:08,118,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.221,168.286,168.250,0.502
04-14-2017,14:10,119,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.460,168.579,168.489,0.390
04-14-2017,15:12,120,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.460,168.559,168.490,0.024
04-14-2017,16:14,121,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.458,168.533,168.482,0.290
04-14-2017,17:16,122,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.462,168.517,168.487,0.519
04-14-2017,18:18,123,18,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.457,168.542,168.487,0.020
04-14-2017,19:19,124,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.471,168.531,168.498,0.430
04-14-2017,20:21,125,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.461,168.518,168.483,0.184
04-14-2017,21:23,126,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.479,168.926,168.581,0.290
04-14-2017,22:25,127,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.460,168.585,168.498,0.520
04-14-2017,23:27,128,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.471,168.868,168.530,0.212
04-15-2017,00:29,129,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.466,168.958,168.547,0.344
04-15-2017,01:31,130,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.490,169.336,168.683,0.570
04-15-2017,02:33,131,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.460,168.789,168.522,0.234
04-15-2017,03:35,132,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.468,168.529,168.495,0.367
04-15-2017,04:37,133,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.453,168.522,168.485,0.519
04-15-2017,05:39,134,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.453,168.502,168.472,0.343
04-15-2017,06:41,135,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.450,168.505,168.475,0.502
04-15-2017,07:43,136,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.459,168.543,168.481,0.367
04-15-2017,08:44,137,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.464,168.562,168.495,0.025
04-15-2017,09:46,138,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.456,168.502,168.481,0.519
04-15-2017,10:48,139,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.453,168.506,168.477,0.502
04-15-2017,11:50,140,17,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.462,168.517,168.478,0.468
04-15-2017,12:52,141,18,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.463,168.590,168.496,0.468
04-15-2017,13:54,142,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.446,168.526,168.480,0.486
04-15-2017,14:56,143,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.445,168.503,168.473,0.260
04-15-2017,15:58,144,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.454,168.516,168.481,0.318
04-15-2017,17:00,145,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.467,168.526,168.494,0.260
04-15-2017,18:02,146,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.461,168.522,168.482,0.410
04-15-2017,19:04,147,17,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.460,168.527,168.480,0.503
04-15-2017,20:06,148,17,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.465,168.514,168.484,0.502
04-15-2017,21:07,149,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.455,168.518,168.475,0.535
04-15-2017,22:09,150,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.471,168.530,168.500,0.410
04-15-2017,23:11,151,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.458,168.515,168.484,0.130
04-16-2017,00:13,152,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.446,168.519,168.478,0.550
04-16-2017,01:15,153,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.448,168.505,168.481,0.367
04-16-2017,02:17,154,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.475,168.945,168.562,0.537
04-16-2017,03:19,155,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.472,168.710,168.497,0.230
04-16-2017,04:21,156,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.452,169.338,168.555,0.595
04-16-2017,05:23,157,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.475,169.075,168.539,0.550
04-16-2017,06:25,158,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.454,168.571,168.489,0.535
04-16-2017,07:27,159,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.473,168.532,168.494,0.343
04-16-2017,08:29,160,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.459,168.703,168.516,0.266
04-16-2017,09:30,161,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.467,168.543,168.494,0.131
04-16-2017,10:32,162,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.483,169.008,168.530,0.576
04-16-2017,11:34,163,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.462,169.224,168.610,0.439
04-16-2017,12:36,164,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.458,168.512,168.483,0.410
04-16-2017,13:38,165,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.475,168.548,168.497,0.410
04-16-2017,14:40,166,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.462,168.958,168.525,0.461
04-16-2017,15:42,167,15,planetlab2.utdallas.edu,planetlab-n1.wand.net.nz,20,20,0,168.443,168.525,168.483,0.389
