Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,08:19,113,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,62.879,432.322,98.298,80.950
04-14-2017,09:19,114,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,62.813,258.892,90.522,54.129
04-14-2017,10:20,115,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,63.017,1124.821,258.477,286.369
04-14-2017,11:20,116,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,62.347,112.360,72.656,13.132
04-14-2017,12:20,117,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,62.359,601.504,180.206,180.451
04-14-2017,13:21,118,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,62.699,146.256,73.832,19.014
04-14-2017,14:21,119,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,19,5,62.267,100.442,82.631,9.294
04-14-2017,15:21,120,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,66.709,919.855,260.088,276.951
04-14-2017,16:22,121,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,61.634,426.658,86.474,78.265
04-14-2017,17:22,122,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,63.266,897.603,180.318,235.420
04-14-2017,18:22,123,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,63.310,137.013,75.966,16.348
04-14-2017,19:23,124,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,18,10,65.500,1001.017,324.235,337.454
04-14-2017,20:23,125,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,63.897,264.739,89.381,51.364
04-14-2017,21:23,126,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,64.235,191.086,81.631,31.385
04-14-2017,22:24,127,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,62.817,180.808,78.340,24.844
04-14-2017,23:24,128,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,63.163,237.343,79.848,36.661
04-15-2017,00:24,129,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,62.748,269.351,89.906,49.859
04-15-2017,01:25,130,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,63.293,502.054,102.439,102.877
04-15-2017,02:25,131,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,62.482,113.831,75.451,12.848
04-15-2017,03:25,132,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,62.602,83.719,72.332,6.634
04-15-2017,04:26,133,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,62.068,85.628,71.982,5.662
04-15-2017,05:26,134,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,62.124,107.012,73.966,9.384
04-15-2017,06:26,135,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,62.500,116.659,76.160,13.878
04-15-2017,07:27,136,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,62.312,80.327,70.045,5.396
04-15-2017,08:27,137,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,63.166,85.388,72.018,6.529
04-15-2017,09:27,138,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,63.109,92.815,71.512,8.385
04-15-2017,10:28,139,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,61.879,100.946,75.543,11.284
04-15-2017,11:28,140,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,61.991,89.171,70.689,6.828
04-15-2017,12:28,141,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,61.433,77.948,68.097,5.468
04-15-2017,13:29,142,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,61.463,89.957,70.714,6.665
04-15-2017,14:29,143,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,61.492,89.482,71.163,8.049
04-15-2017,15:29,144,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,61.736,84.839,69.998,7.094
04-15-2017,16:30,145,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,61.970,76.352,67.697,4.600
04-15-2017,17:30,146,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,61.629,74.479,67.935,3.671
04-15-2017,18:30,147,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,61.609,81.465,69.835,6.048
04-15-2017,19:31,148,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,61.995,90.898,75.129,9.360
04-15-2017,20:31,149,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,67.492,110.841,77.548,9.167
04-15-2017,21:31,150,19,planetlab1.cs.ubc.ca,planetlab1.cs.purdue.edu,20,20,0,61.870,97.143,77.562,10.371
