Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,08:11,113,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,45.284,305.740,69.038,61.327
04-14-2017,09:11,114,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,45.426,284.484,64.449,50.798
04-14-2017,10:12,115,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,45.055,59.864,51.227,3.975
04-14-2017,11:12,116,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,46.097,97.143,58.752,14.766
04-14-2017,12:12,117,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,45.192,212.186,67.942,43.598
04-14-2017,13:13,118,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,45.072,88.315,55.065,9.617
04-14-2017,14:13,119,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,19,5,58.074,78.579,67.733,5.745
04-14-2017,15:14,120,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,53.647,364.824,89.358,75.887
04-14-2017,16:14,121,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,45.063,185.488,61.151,29.432
04-14-2017,17:14,122,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,45.377,358.576,83.456,71.352
04-14-2017,18:15,123,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,46.486,472.856,93.489,113.054
04-14-2017,19:15,124,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,44.874,125.123,57.468,17.160
04-14-2017,20:16,125,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,44.627,115.564,56.193,16.456
04-14-2017,21:16,126,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,45.156,134.335,57.420,19.706
04-14-2017,22:16,127,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,45.257,235.480,79.411,54.002
04-14-2017,23:17,128,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,45.030,375.498,89.185,86.571
04-15-2017,00:17,129,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,45.228,1099.883,135.446,250.105
04-15-2017,01:18,130,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,44.877,262.196,65.901,47.320
04-15-2017,02:18,131,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,45.142,385.213,72.697,73.421
04-15-2017,03:19,132,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,46.480,59.166,51.367,3.709
04-15-2017,04:19,133,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,44.847,73.114,52.888,8.604
04-15-2017,05:19,134,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,44.958,72.298,51.855,7.161
04-15-2017,06:20,135,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,44.794,62.771,50.926,5.372
04-15-2017,07:20,136,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,44.936,62.181,50.925,4.767
04-15-2017,08:21,137,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,45.345,62.651,52.567,5.686
04-15-2017,09:21,138,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,45.193,63.145,51.031,4.801
04-15-2017,10:22,139,14,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,44.997,62.264,52.057,5.640
04-15-2017,11:22,140,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,46.738,63.255,52.749,5.039
04-15-2017,12:22,141,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,44.786,59.741,52.114,5.142
04-15-2017,13:23,142,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,44.996,62.897,52.110,5.880
04-15-2017,14:23,143,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,44.681,64.247,50.873,5.245
04-15-2017,15:24,144,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,44.965,61.226,52.047,4.667
04-15-2017,16:24,145,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,44.999,63.091,51.146,5.330
04-15-2017,17:24,146,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,44.965,56.911,50.841,3.625
04-15-2017,18:25,147,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,44.454,65.442,50.291,5.101
04-15-2017,19:25,148,13,planetlab1.cs.uml.edu,planetlab2.cs.purdue.edu,20,20,0,46.632,69.842,52.951,5.772
