Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,08:10,113,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,45.483,334.561,115.597,102.701
04-14-2017,09:11,114,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,45.113,128.671,60.779,20.213
04-14-2017,10:11,115,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,44.978,72.284,50.826,6.770
04-14-2017,11:12,116,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,45.381,618.697,96.534,132.716
04-14-2017,12:12,117,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,45.142,195.002,58.140,31.836
04-14-2017,13:12,118,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,45.894,68.506,54.260,6.435
04-14-2017,14:13,119,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,18,10,49.864,249.566,83.235,44.508
04-14-2017,15:13,120,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,16,20,53.625,445.241,85.945,93.150
04-14-2017,16:14,121,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,44.905,66.347,52.461,5.772
04-14-2017,17:14,122,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,44.900,60.646,53.520,4.653
04-14-2017,18:15,123,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,45.036,468.603,101.572,111.071
04-14-2017,19:15,124,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,44.911,234.687,62.476,40.810
04-14-2017,20:16,125,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,44.744,73.440,52.332,8.766
04-14-2017,21:16,126,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,44.995,331.654,72.380,60.926
04-14-2017,22:17,127,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,47.503,578.087,110.237,125.800
04-14-2017,23:17,128,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,45.396,107.255,56.207,15.489
04-15-2017,00:18,129,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,45.347,506.752,75.406,99.058
04-15-2017,01:19,130,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,44.947,236.479,60.505,40.954
04-15-2017,02:19,131,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,45.352,286.521,63.465,51.400
04-15-2017,03:20,132,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,46.873,68.496,53.006,5.502
04-15-2017,04:20,133,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,44.993,81.169,55.970,8.360
04-15-2017,05:21,134,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,45.358,79.925,56.183,10.911
04-15-2017,06:21,135,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,45.485,77.032,56.489,10.193
04-15-2017,07:22,136,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,45.499,105.387,60.652,14.038
04-15-2017,08:22,137,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,45.245,71.596,55.967,6.514
04-15-2017,09:23,138,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,45.556,72.184,56.000,8.506
04-15-2017,10:23,139,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,44.679,82.111,54.728,9.882
04-15-2017,11:24,140,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,46.364,84.362,56.279,10.465
04-15-2017,12:24,141,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,44.878,67.011,52.669,6.458
04-15-2017,13:24,142,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,45.277,63.745,52.198,6.251
04-15-2017,14:25,143,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,44.880,69.767,53.731,6.649
04-15-2017,15:25,144,13,planetlab2.cs.purdue.edu,planetlab1.cs.uml.edu,20,20,0,44.921,73.015,54.781,7.534
