Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,08:13,113,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,10.296,11.414,10.600,0.274
04-14-2017,09:13,114,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,10.351,11.144,10.632,0.203
04-14-2017,10:14,115,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,10.232,11.150,10.587,0.265
04-14-2017,11:14,116,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,10.251,10.731,10.485,0.185
04-14-2017,12:15,117,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,10.296,10.972,10.674,0.165
04-14-2017,13:15,118,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,10.372,10.942,10.618,0.212
04-14-2017,14:15,119,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,10.335,12.128,10.871,0.519
04-14-2017,15:16,120,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,10.371,11.058,10.575,0.211
04-14-2017,16:16,121,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,10.368,10.790,10.572,0.143
04-14-2017,17:17,122,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,10.283,11.246,10.645,0.236
04-14-2017,18:17,123,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,10.373,75.720,14.674,14.440
04-14-2017,19:18,124,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,10.356,10.866,10.629,0.153
04-14-2017,20:18,125,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,10.353,10.951,10.622,0.203
04-14-2017,21:18,126,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,10.320,10.854,10.573,0.180
04-14-2017,22:19,127,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,10.278,10.802,10.562,0.174
04-14-2017,23:19,128,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,10.303,11.339,10.631,0.263
04-15-2017,00:20,129,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,10.307,11.343,10.586,0.276
04-15-2017,01:20,130,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,10.317,11.491,10.663,0.282
04-15-2017,02:20,131,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.669,38.134,37.931,0.294
04-15-2017,03:21,132,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.672,38.664,37.915,0.339
04-15-2017,04:21,133,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.713,39.941,38.386,0.534
04-15-2017,05:22,134,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.628,38.484,37.960,0.273
04-15-2017,06:22,135,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.609,38.217,37.850,0.254
04-15-2017,07:22,136,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.668,231.559,47.538,42.217
04-15-2017,08:23,137,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.574,37.964,37.800,0.239
04-15-2017,09:23,138,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.632,38.202,37.877,0.183
04-15-2017,10:24,139,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.651,38.080,37.826,0.226
04-15-2017,11:24,140,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.669,38.027,37.844,0.186
04-15-2017,12:24,141,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.645,38.177,37.908,0.230
04-15-2017,13:25,142,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.556,38.114,37.818,0.224
04-15-2017,14:25,143,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.583,38.392,37.868,0.265
04-15-2017,15:26,144,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.659,38.287,37.894,0.289
04-15-2017,16:26,145,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.684,38.131,37.862,0.215
04-15-2017,17:26,146,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.640,38.396,37.942,0.270
04-15-2017,18:27,147,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.662,38.209,37.928,0.310
04-15-2017,19:27,148,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.663,38.109,37.886,0.263
04-15-2017,20:28,149,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.691,38.206,37.867,0.226
04-15-2017,21:28,150,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.662,38.254,37.907,0.209
04-15-2017,22:29,151,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.640,38.561,37.870,0.289
04-15-2017,23:29,152,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.647,38.298,37.950,0.217
04-16-2017,00:29,153,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.728,38.152,37.899,0.224
04-16-2017,01:30,154,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.629,38.247,37.918,0.279
04-16-2017,02:30,155,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.636,38.737,37.941,0.281
04-16-2017,03:31,156,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.702,38.330,37.910,0.250
04-16-2017,04:31,157,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.731,38.290,37.944,0.265
04-16-2017,05:31,158,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.648,38.131,37.863,0.150
04-16-2017,06:32,159,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.706,38.747,37.970,0.241
04-16-2017,07:32,160,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.587,38.380,37.886,0.297
04-16-2017,08:33,161,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.521,38.418,37.829,0.303
04-16-2017,09:33,162,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.600,38.158,37.897,0.294
04-16-2017,10:33,163,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.624,38.019,37.799,0.259
04-16-2017,11:34,164,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.610,38.184,37.807,0.294
04-16-2017,12:34,165,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.634,38.059,37.848,0.136
04-16-2017,13:35,166,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.643,38.098,37.835,0.237
04-16-2017,14:35,167,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.534,38.280,37.961,0.288
04-16-2017,15:35,168,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.701,38.148,37.857,0.163
04-16-2017,16:36,169,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.692,38.232,37.927,0.295
04-16-2017,17:36,170,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.699,38.378,37.918,0.203
04-16-2017,18:37,171,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.650,38.319,37.893,0.224
04-16-2017,19:37,172,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.691,38.024,37.883,0.264
04-16-2017,20:37,173,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.561,38.250,37.887,0.277
04-16-2017,21:38,174,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.740,38.202,37.893,0.139
04-16-2017,22:38,175,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.683,38.384,37.996,0.339
04-16-2017,23:39,176,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.735,38.357,37.940,0.304
04-17-2017,00:39,177,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.615,38.151,37.895,0.195
04-17-2017,01:40,178,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.684,38.385,37.957,0.258
04-17-2017,02:40,179,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.627,38.200,37.984,0.170
04-17-2017,03:40,180,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.665,137.786,43.018,21.742
04-17-2017,04:41,181,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.611,38.207,37.887,0.231
04-17-2017,05:41,182,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.719,38.279,37.968,0.254
04-17-2017,06:42,183,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.750,38.185,37.899,0.278
04-17-2017,07:42,184,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.489,38.276,37.912,0.264
04-17-2017,08:42,185,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.641,38.149,37.865,0.295
04-17-2017,09:43,186,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.526,38.203,37.845,0.207
04-17-2017,10:43,187,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.622,38.280,37.833,0.186
04-17-2017,11:44,188,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.694,38.220,37.905,0.235
04-17-2017,12:44,189,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.602,38.328,37.899,0.240
04-17-2017,13:44,190,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.721,38.222,37.964,0.196
04-17-2017,14:45,191,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.628,38.159,37.919,0.209
04-17-2017,15:45,192,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.670,38.270,37.941,0.251
04-17-2017,16:46,193,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.743,38.143,37.947,0.191
04-17-2017,17:46,194,12,planetlab1.temple.edu,earth.cs.brown.edu,20,20,0,37.630,38.420,37.907,0.310
