Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,08:13,113,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,10.279,10.794,10.515,0.176
04-14-2017,09:13,114,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,10.405,22.307,13.217,3.198
04-14-2017,10:13,115,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,10.365,10.839,10.529,0.190
04-14-2017,11:14,116,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,10.270,11.044,10.607,0.208
04-14-2017,12:14,117,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,10.433,11.409,10.703,0.269
04-14-2017,13:14,118,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,10.175,10.886,10.574,0.191
04-14-2017,14:15,119,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,10.336,12.083,10.666,0.382
04-14-2017,15:15,120,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,10.413,22.318,11.274,2.568
04-14-2017,16:15,121,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,10.343,10.839,10.577,0.174
04-14-2017,17:16,122,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,10.357,10.964,10.614,0.193
04-14-2017,18:16,123,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,10.310,11.261,10.611,0.263
04-14-2017,19:16,124,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,10.319,11.268,10.666,0.241
04-14-2017,20:17,125,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,10.289,11.463,10.609,0.253
04-14-2017,21:17,126,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,10.360,11.174,10.651,0.255
04-14-2017,22:17,127,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,10.294,11.007,10.596,0.212
04-14-2017,23:18,128,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,10.203,41.607,12.110,6.770
04-15-2017,00:18,129,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,10.261,11.203,10.598,0.231
04-15-2017,01:18,130,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,10.301,10.888,10.587,0.187
04-15-2017,02:19,131,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.591,38.313,37.890,0.313
04-15-2017,03:19,132,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.639,38.268,37.928,0.320
04-15-2017,04:19,133,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.713,38.296,38.033,0.293
04-15-2017,05:20,134,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.730,38.724,37.989,0.308
04-15-2017,06:20,135,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.625,38.038,37.838,0.190
04-15-2017,07:20,136,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.637,40.632,38.068,0.646
04-15-2017,08:21,137,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.545,38.471,37.877,0.300
04-15-2017,09:21,138,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.637,38.855,37.849,0.316
04-15-2017,10:22,139,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.464,38.218,37.809,0.287
04-15-2017,11:22,140,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.547,38.015,37.764,0.191
04-15-2017,12:22,141,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.641,37.982,37.839,0.231
04-15-2017,13:23,142,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.563,38.163,37.831,0.231
04-15-2017,14:23,143,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.632,38.278,37.880,0.219
04-15-2017,15:23,144,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.439,37.967,37.798,0.199
04-15-2017,16:24,145,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.565,38.059,37.824,0.264
04-15-2017,17:24,146,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.573,37.988,37.853,0.279
04-15-2017,18:24,147,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.549,38.089,37.832,0.138
04-15-2017,19:25,148,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.685,38.565,37.955,0.211
04-15-2017,20:25,149,17,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.629,38.238,37.905,0.202
04-15-2017,21:26,150,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.588,38.226,37.880,0.246
04-15-2017,22:26,151,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.611,314.702,51.674,60.343
04-15-2017,23:26,152,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.482,38.420,37.879,0.297
04-16-2017,00:27,153,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.612,38.364,37.874,0.243
04-16-2017,01:27,154,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.637,38.057,37.842,0.157
04-16-2017,02:27,155,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.601,38.191,37.901,0.186
04-16-2017,03:28,156,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.516,38.173,37.911,0.196
04-16-2017,04:28,157,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.582,38.565,37.917,0.248
04-16-2017,05:28,158,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.600,38.152,37.907,0.304
04-16-2017,06:29,159,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.616,38.119,37.880,0.222
04-16-2017,07:29,160,17,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.585,38.074,37.868,0.153
04-16-2017,08:29,161,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.564,38.367,37.823,0.297
04-16-2017,09:30,162,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.611,37.978,37.788,0.251
04-16-2017,10:30,163,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.553,38.083,37.795,0.285
04-16-2017,11:31,164,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.571,38.094,37.830,0.245
04-16-2017,12:31,165,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.458,38.151,37.817,0.265
04-16-2017,13:31,166,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.558,38.062,37.813,0.283
04-16-2017,14:32,167,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.472,38.127,37.818,0.318
04-16-2017,15:32,168,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.590,38.029,37.841,0.185
04-16-2017,16:32,169,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.550,38.130,37.866,0.290
04-16-2017,17:33,170,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.695,38.124,37.900,0.133
04-16-2017,18:33,171,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.689,38.149,37.919,0.117
04-16-2017,19:33,172,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.506,38.206,37.875,0.180
04-16-2017,20:34,173,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.689,38.121,37.865,0.143
04-16-2017,21:34,174,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.659,38.161,37.860,0.278
04-16-2017,22:34,175,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.589,38.363,37.876,0.222
04-16-2017,23:35,176,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.695,38.143,37.916,0.246
04-17-2017,00:35,177,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.687,38.054,37.854,0.263
04-17-2017,01:35,178,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.715,38.191,37.912,0.246
04-17-2017,02:36,179,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.790,38.045,37.948,0.272
04-17-2017,03:36,180,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.676,38.610,37.936,0.338
04-17-2017,04:36,181,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.550,38.157,37.849,0.271
04-17-2017,05:37,182,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.657,38.238,37.863,0.276
04-17-2017,06:37,183,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.651,38.190,37.862,0.263
04-17-2017,07:37,184,12,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.528,38.099,37.831,0.164
04-17-2017,08:38,185,17,earth.cs.brown.edu,planetlab1.temple.edu,20,20,0,37.664,38.025,37.822,0.261
