Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,08:14,113,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.596,66.889,66.697,0.302
04-14-2017,09:15,114,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.586,67.046,66.685,0.151
04-14-2017,10:15,115,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.453,66.625,66.504,0.272
04-14-2017,11:15,116,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.469,67.604,66.625,0.350
04-14-2017,12:16,117,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.311,74.707,66.955,1.811
04-14-2017,13:16,118,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.469,68.740,66.647,0.541
04-14-2017,14:16,119,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.496,66.881,66.597,0.283
04-14-2017,15:17,120,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.487,68.780,66.837,0.613
04-14-2017,16:17,121,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.447,71.425,66.853,1.095
04-14-2017,17:17,122,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.311,66.706,66.549,0.181
04-14-2017,18:18,123,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.485,70.465,66.846,0.953
04-14-2017,19:18,124,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.470,78.519,67.232,2.598
04-14-2017,20:18,125,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.462,66.928,66.659,0.359
04-14-2017,21:19,126,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.547,67.966,66.966,0.336
04-14-2017,22:19,127,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.349,67.201,66.765,0.375
04-14-2017,23:19,128,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.461,67.078,66.703,0.279
04-15-2017,00:20,129,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.465,67.924,66.710,0.481
04-15-2017,01:20,130,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.503,71.676,70.109,1.812
04-15-2017,02:20,131,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.470,68.431,66.664,0.496
04-15-2017,03:21,132,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.473,67.829,66.762,0.463
04-15-2017,04:21,133,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.479,66.569,66.526,0.085
04-15-2017,05:21,134,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.452,67.184,66.605,0.374
04-15-2017,06:22,135,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.325,66.851,66.538,0.122
04-15-2017,07:22,136,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.399,66.845,66.559,0.128
04-15-2017,08:22,137,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.277,66.711,66.516,0.345
04-15-2017,09:23,138,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.414,66.949,66.523,0.103
04-15-2017,10:23,139,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.459,67.022,66.533,0.317
04-15-2017,11:23,140,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.457,66.665,66.507,0.359
04-15-2017,12:24,141,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.349,66.798,66.533,0.285
04-15-2017,13:24,142,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.320,67.011,66.534,0.289
04-15-2017,14:24,143,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.456,66.922,66.516,0.170
04-15-2017,15:25,144,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.271,66.678,66.522,0.334
04-15-2017,16:25,145,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.480,67.049,66.555,0.258
04-15-2017,17:25,146,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.465,66.597,66.526,0.145
04-15-2017,18:26,147,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.484,66.931,66.580,0.148
04-15-2017,19:26,148,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.476,66.735,66.542,0.360
04-15-2017,20:26,149,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.500,66.863,66.548,0.364
04-15-2017,21:27,150,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.273,67.139,66.592,0.359
04-15-2017,22:27,151,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.429,66.995,66.554,0.218
04-15-2017,23:27,152,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.489,66.746,66.547,0.313
04-16-2017,00:28,153,12,node2.planetlab.mathcs.emory.edu,planetlab4.cs.uoregon.edu,20,20,0,66.280,66.757,66.544,0.165
