Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,07:59,113,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.234,168.440,168.296,0.044
04-14-2017,08:59,114,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.237,168.310,168.269,0.130
04-14-2017,10:00,115,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.233,168.431,168.266,0.451
04-14-2017,11:00,116,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.224,168.330,168.250,0.225
04-14-2017,12:01,117,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.212,168.296,168.244,0.020
04-14-2017,13:01,118,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.231,168.291,168.254,0.016
04-14-2017,14:01,119,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.456,168.674,168.495,0.346
04-14-2017,15:02,120,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.461,168.590,168.486,0.468
04-14-2017,16:02,121,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.459,168.519,168.481,0.131
04-14-2017,17:02,122,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.466,168.539,168.487,0.566
04-14-2017,18:03,123,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.451,168.513,168.483,0.367
04-14-2017,19:03,124,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.456,168.517,168.477,0.550
04-14-2017,20:03,125,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.458,168.688,168.498,0.370
04-14-2017,21:04,126,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.471,168.528,168.495,0.130
04-14-2017,22:04,127,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.470,168.843,168.518,0.375
04-14-2017,23:05,128,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.451,168.955,168.578,0.574
04-15-2017,00:05,129,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.471,169.532,168.619,0.632
04-15-2017,01:06,130,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.457,169.007,168.515,0.562
04-15-2017,02:06,131,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.461,168.925,168.519,0.209
04-15-2017,03:06,132,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.464,169.047,168.592,0.563
04-15-2017,04:07,133,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.460,169.023,168.560,0.577
04-15-2017,05:07,134,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.460,168.533,168.487,0.260
04-15-2017,06:07,135,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.433,168.513,168.483,0.535
04-15-2017,07:08,136,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.468,168.529,168.490,0.016
04-15-2017,08:08,137,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.458,168.529,168.481,0.318
04-15-2017,09:08,138,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.452,168.505,168.476,0.012
04-15-2017,10:09,139,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.451,168.510,168.478,0.367
04-15-2017,11:09,140,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.456,168.512,168.476,0.367
04-15-2017,12:10,141,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.459,168.559,168.499,0.260
04-15-2017,13:10,142,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.461,168.541,168.485,0.503
04-15-2017,14:10,143,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.457,168.585,168.496,0.320
04-15-2017,15:11,144,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.450,168.504,168.478,0.184
04-15-2017,16:11,145,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.461,168.525,168.481,0.519
04-15-2017,17:11,146,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.462,168.537,168.485,0.290
04-15-2017,18:12,147,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.458,168.551,168.483,0.318
04-15-2017,19:12,148,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.458,168.526,168.482,0.550
04-15-2017,20:12,149,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.465,168.537,168.488,0.017
04-15-2017,21:13,150,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.469,168.624,168.493,0.391
04-15-2017,22:13,151,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.472,168.512,168.487,0.550
04-15-2017,23:13,152,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.454,168.506,168.479,0.343
04-16-2017,00:14,153,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.455,168.535,168.483,0.503
04-16-2017,01:14,154,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.459,168.733,168.503,0.323
04-16-2017,02:15,155,15,planetlab-n1.wand.net.nz,planetlab2.utdallas.edu,20,20,0,168.456,168.544,168.495,0.551
