Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,08:18,113,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,64.418,369.456,88.981,65.000
04-14-2017,09:19,114,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,63.139,968.393,159.487,232.474
04-14-2017,10:19,115,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,64.120,385.299,90.312,68.495
04-14-2017,11:20,116,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,63.065,197.492,82.962,32.671
04-14-2017,12:20,117,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,64.354,843.480,218.196,226.736
04-14-2017,13:21,118,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,19,5,62.312,282.212,83.562,47.502
04-14-2017,14:21,119,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,19,5,65.112,105.064,83.919,9.713
04-14-2017,15:22,120,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.551,524.181,149.854,138.025
04-14-2017,16:22,121,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,64.131,838.342,151.427,221.190
04-14-2017,17:23,122,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.276,213.965,86.934,38.557
04-14-2017,18:23,123,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.456,121.001,75.314,15.947
04-14-2017,19:24,124,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.487,542.616,100.174,102.439
04-14-2017,20:24,125,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,64.480,754.472,172.541,179.671
04-14-2017,21:25,126,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.889,731.160,110.927,145.732
04-14-2017,22:25,127,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.132,88.366,69.905,6.343
04-14-2017,23:26,128,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,65.805,540.313,120.182,112.187
04-15-2017,00:26,129,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,64.711,1476.757,196.478,340.264
04-15-2017,01:27,130,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,64.587,779.470,215.617,240.645
04-15-2017,02:27,131,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,64.244,559.885,100.605,105.799
04-15-2017,03:28,132,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.312,100.957,76.182,10.209
04-15-2017,04:28,133,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.823,86.674,73.905,8.167
04-15-2017,05:29,134,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.440,131.837,75.043,15.541
04-15-2017,06:29,135,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,63.491,110.682,77.457,12.701
04-15-2017,07:29,136,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.682,91.426,69.997,7.485
04-15-2017,08:30,137,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.457,93.034,72.343,8.489
04-15-2017,09:30,138,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.648,89.397,73.719,6.585
04-15-2017,10:31,139,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.975,102.734,76.425,11.475
04-15-2017,11:31,140,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,61.816,134.509,74.586,16.102
04-15-2017,12:32,141,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.066,88.566,69.814,6.834
04-15-2017,13:32,142,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,61.828,94.591,70.821,7.518
04-15-2017,14:32,143,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,61.855,130.234,80.639,17.035
04-15-2017,15:33,144,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,61.895,95.177,71.023,9.501
04-15-2017,16:33,145,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,63.137,97.279,74.730,9.577
04-15-2017,17:34,146,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,61.740,93.325,74.426,10.160
04-15-2017,18:34,147,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,61.794,130.607,75.374,15.027
04-15-2017,19:35,148,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.475,107.108,73.021,12.073
04-15-2017,20:35,149,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,61.378,100.119,68.409,9.083
04-15-2017,21:35,150,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,61.617,95.569,76.170,11.277
04-15-2017,22:36,151,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,63.879,94.553,73.305,9.139
04-15-2017,23:36,152,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.058,78.640,69.340,5.299
04-16-2017,00:37,153,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,63.490,91.166,71.397,8.834
04-16-2017,01:37,154,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,61.613,112.894,71.331,13.727
04-16-2017,02:38,155,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,65.411,90.693,75.568,7.243
04-16-2017,03:38,156,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,61.868,103.955,74.928,11.360
04-16-2017,04:38,157,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,61.697,81.910,68.279,5.400
04-16-2017,05:39,158,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.818,100.039,73.665,11.443
04-16-2017,06:39,159,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.134,91.313,69.822,7.190
04-16-2017,07:40,160,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,63.091,80.370,69.104,5.264
04-16-2017,08:40,161,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,61.952,117.894,72.055,12.210
04-16-2017,09:41,162,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,64.967,114.287,82.622,13.905
04-16-2017,10:41,163,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.000,107.824,72.509,10.180
04-16-2017,11:41,164,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.561,91.156,70.321,7.572
04-16-2017,12:42,165,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,61.548,84.144,69.621,5.427
04-16-2017,13:42,166,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.918,115.849,77.677,11.793
04-16-2017,14:43,167,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.659,90.599,72.051,8.502
04-16-2017,15:43,168,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,61.781,107.768,74.451,12.974
04-16-2017,16:44,169,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,61.752,93.804,70.414,9.475
04-16-2017,17:44,170,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,63.765,89.720,71.712,6.842
04-16-2017,18:44,171,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.461,104.161,75.079,10.581
04-16-2017,19:45,172,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,61.624,94.844,71.362,8.801
04-16-2017,20:45,173,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.610,88.417,70.778,7.952
04-16-2017,21:46,174,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.713,89.254,73.743,9.206
04-16-2017,22:46,175,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,66.943,96.899,73.696,7.047
04-16-2017,23:47,176,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,61.802,135.236,78.307,15.503
04-17-2017,00:47,177,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.067,141.983,76.537,16.748
04-17-2017,01:47,178,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,63.085,105.031,73.675,10.401
04-17-2017,02:48,179,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.714,94.367,71.490,8.631
04-17-2017,03:48,180,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.002,104.436,74.766,10.687
04-17-2017,04:49,181,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,63.627,256.442,87.944,40.613
04-17-2017,05:49,182,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,63.763,464.877,100.449,85.922
04-17-2017,06:50,183,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.658,83.810,71.907,6.820
04-17-2017,07:50,184,18,planetlab1.cs.purdue.edu,planetlab1.cs.ubc.ca,20,20,0,62.988,84.042,70.917,5.871
