Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,08:05,113,16,planetlab1.unr.edu,salt.planetlab.cs.umd.edu,20,20,0,60.405,61.162,60.756,0.388
04-14-2017,09:05,114,16,planetlab1.unr.edu,salt.planetlab.cs.umd.edu,20,20,0,60.381,61.456,60.950,0.379
04-14-2017,10:06,115,16,planetlab1.unr.edu,salt.planetlab.cs.umd.edu,20,20,0,60.541,61.233,60.805,0.277
04-14-2017,11:06,116,16,planetlab1.unr.edu,salt.planetlab.cs.umd.edu,20,20,0,60.292,60.968,60.616,0.317
04-14-2017,12:06,117,16,planetlab1.unr.edu,salt.planetlab.cs.umd.edu,20,20,0,60.342,60.903,60.607,0.248
04-14-2017,13:07,118,16,planetlab1.unr.edu,salt.planetlab.cs.umd.edu,20,20,0,60.873,61.592,61.212,0.258
04-14-2017,14:07,119,16,planetlab1.unr.edu,salt.planetlab.cs.umd.edu,20,20,0,61.026,61.517,61.316,0.350
04-14-2017,15:07,120,16,planetlab1.unr.edu,salt.planetlab.cs.umd.edu,20,20,0,61.015,61.603,61.340,0.155
04-14-2017,16:08,121,16,planetlab1.unr.edu,salt.planetlab.cs.umd.edu,20,20,0,60.450,60.801,60.652,0.204
04-14-2017,17:08,122,16,planetlab1.unr.edu,salt.planetlab.cs.umd.edu,20,20,0,60.517,60.938,60.746,0.302
04-14-2017,18:09,123,16,planetlab1.unr.edu,salt.planetlab.cs.umd.edu,20,20,0,60.451,60.983,60.718,0.367
04-14-2017,19:09,124,16,planetlab1.unr.edu,salt.planetlab.cs.umd.edu,20,20,0,60.269,60.848,60.631,0.195
04-14-2017,20:09,125,16,planetlab1.unr.edu,salt.planetlab.cs.umd.edu,20,20,0,61.085,61.604,61.352,0.282
04-14-2017,21:10,126,16,planetlab1.unr.edu,salt.planetlab.cs.umd.edu,20,20,0,61.174,61.613,61.356,0.259
04-14-2017,22:10,127,16,planetlab1.unr.edu,salt.planetlab.cs.umd.edu,20,20,0,61.060,61.640,61.381,0.174
04-14-2017,23:10,128,16,planetlab1.unr.edu,salt.planetlab.cs.umd.edu,20,20,0,60.295,60.994,60.689,0.332
04-15-2017,00:11,129,16,planetlab1.unr.edu,salt.planetlab.cs.umd.edu,20,20,0,61.182,61.903,61.407,0.306
