Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,08:17,113,20,planetlab2.cs.ucla.edu,plonk.cs.uwaterloo.ca,20,20,0,58.350,58.673,58.483,0.107
04-14-2017,09:17,114,22,planetlab2.cs.ucla.edu,plonk.cs.uwaterloo.ca,20,20,0,79.162,79.612,79.346,0.141
04-14-2017,10:18,115,22,planetlab2.cs.ucla.edu,plonk.cs.uwaterloo.ca,20,20,0,79.176,79.625,79.379,0.289
04-14-2017,11:18,116,22,planetlab2.cs.ucla.edu,plonk.cs.uwaterloo.ca,20,20,0,79.096,79.651,79.321,0.194
04-14-2017,12:19,117,22,planetlab2.cs.ucla.edu,plonk.cs.uwaterloo.ca,20,20,0,79.121,79.628,79.353,0.253
04-14-2017,13:19,118,22,planetlab2.cs.ucla.edu,plonk.cs.uwaterloo.ca,20,20,0,79.148,79.502,79.370,0.391
04-14-2017,14:19,119,22,planetlab2.cs.ucla.edu,plonk.cs.uwaterloo.ca,20,20,0,79.236,79.734,79.463,0.150
04-14-2017,15:20,120,22,planetlab2.cs.ucla.edu,plonk.cs.uwaterloo.ca,20,20,0,79.194,79.643,79.370,0.226
04-14-2017,16:20,121,22,planetlab2.cs.ucla.edu,plonk.cs.uwaterloo.ca,20,20,0,79.229,79.783,79.505,0.245
04-14-2017,17:21,122,22,planetlab2.cs.ucla.edu,plonk.cs.uwaterloo.ca,20,20,0,79.192,79.654,79.426,0.366
04-14-2017,18:21,123,22,planetlab2.cs.ucla.edu,plonk.cs.uwaterloo.ca,20,20,0,79.338,79.743,79.531,0.249
04-14-2017,19:22,124,22,planetlab2.cs.ucla.edu,plonk.cs.uwaterloo.ca,20,20,0,79.230,79.722,79.435,0.236
04-14-2017,20:22,125,22,planetlab2.cs.ucla.edu,plonk.cs.uwaterloo.ca,20,20,0,79.146,79.656,79.428,0.331
04-14-2017,21:22,126,22,planetlab2.cs.ucla.edu,plonk.cs.uwaterloo.ca,20,20,0,79.257,81.023,79.603,0.492
04-14-2017,22:23,127,22,planetlab2.cs.ucla.edu,plonk.cs.uwaterloo.ca,20,20,0,79.253,79.764,79.472,0.361
04-14-2017,23:23,128,22,planetlab2.cs.ucla.edu,plonk.cs.uwaterloo.ca,20,20,0,79.284,79.545,79.428,0.247
04-15-2017,00:24,129,22,planetlab2.cs.ucla.edu,plonk.cs.uwaterloo.ca,20,20,0,79.190,79.827,79.491,0.267
04-15-2017,01:24,130,22,planetlab2.cs.ucla.edu,plonk.cs.uwaterloo.ca,20,20,0,79.270,80.180,79.540,0.399
