Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,03:34,113,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,116.060,117.044,116.197,0.469
04-14-2017,04:35,114,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.946,116.485,116.130,0.225
04-14-2017,05:35,115,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.955,116.808,116.171,0.419
04-14-2017,06:36,116,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.917,116.582,116.146,0.297
04-14-2017,07:36,117,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.921,116.446,116.110,0.426
04-14-2017,08:36,118,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.893,116.228,116.025,0.354
04-14-2017,09:37,119,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.880,116.333,116.049,0.272
04-14-2017,10:37,120,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.941,116.644,116.158,0.433
04-14-2017,11:38,121,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.926,146.262,117.684,6.565
04-14-2017,12:38,122,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.945,121.779,116.702,1.360
04-14-2017,13:38,123,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.985,119.815,116.679,0.934
04-14-2017,14:39,124,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,116.004,117.874,116.472,0.632
04-14-2017,15:39,125,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.909,143.760,118.641,6.197
04-14-2017,16:40,126,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,116.002,117.711,116.453,0.640
04-14-2017,17:40,127,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.996,120.035,116.415,0.941
04-14-2017,18:40,128,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,116.034,141.845,117.987,5.666
04-14-2017,19:41,129,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,116.052,116.449,116.215,0.406
04-14-2017,20:41,130,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,116.037,117.337,116.311,0.476
04-14-2017,21:42,131,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.903,138.454,117.303,4.865
04-14-2017,22:42,132,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.928,116.432,116.046,0.460
04-14-2017,23:42,133,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,116.022,116.479,116.186,0.275
04-15-2017,00:43,134,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.897,116.328,116.122,0.308
04-15-2017,01:43,135,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.884,117.259,116.181,0.380
04-15-2017,02:43,136,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.950,117.546,116.165,0.412
04-15-2017,03:44,137,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.928,116.419,116.099,0.478
04-15-2017,04:44,138,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.969,116.726,116.181,0.358
04-15-2017,05:44,139,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.902,116.307,116.078,0.336
04-15-2017,06:45,140,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.368,117.730,115.612,0.654
04-15-2017,07:45,141,12,planetlab2.cs.uml.edu,planetlab3.cesnet.cz,20,20,0,115.969,116.421,116.150,0.221
