Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,02:37,113,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.923,116.234,116.056,0.336
Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,03:35,113,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.967,116.737,116.293,0.460
04-14-2017,04:36,114,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.913,122.274,116.577,1.520
04-14-2017,05:36,115,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.903,116.481,116.092,0.332
04-14-2017,06:37,116,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.881,116.250,116.074,0.322
04-14-2017,07:37,117,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.929,116.277,116.059,0.453
04-14-2017,08:37,118,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.935,116.498,116.103,0.408
04-14-2017,09:38,119,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.877,116.190,116.005,0.438
04-14-2017,10:38,120,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.903,117.931,116.175,0.583
04-14-2017,11:39,121,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.910,116.279,116.046,0.353
04-14-2017,12:39,122,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,19,5,115.974,117.332,116.244,0.565
04-14-2017,13:39,123,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.957,126.056,116.750,2.205
04-14-2017,14:40,124,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.882,118.607,116.373,0.683
04-14-2017,15:40,125,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,18,10,115.932,126.590,117.405,2.909
04-14-2017,16:41,126,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.966,125.293,116.851,2.061
04-14-2017,17:41,127,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,116.014,117.996,116.374,0.638
04-14-2017,18:42,128,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.955,120.555,116.395,0.992
04-14-2017,19:42,129,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,116.038,117.178,116.366,0.495
04-14-2017,20:42,130,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.963,118.290,116.532,0.787
04-14-2017,21:43,131,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.885,116.582,116.184,0.416
04-14-2017,22:43,132,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.946,116.521,116.110,0.186
04-14-2017,23:44,133,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.963,116.434,116.152,0.249
04-15-2017,00:44,134,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.927,123.749,118.273,2.984
04-15-2017,01:45,135,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.867,120.205,116.363,0.976
04-15-2017,02:45,136,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.919,116.585,116.146,0.297
04-15-2017,03:45,137,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.943,116.377,116.103,0.200
04-15-2017,04:46,138,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.979,116.377,116.129,0.360
04-15-2017,05:46,139,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.882,116.245,116.071,0.129
04-15-2017,06:47,140,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.290,115.783,115.500,0.138
04-15-2017,07:47,141,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.988,116.424,116.153,0.313
04-15-2017,08:47,142,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.934,117.228,116.186,0.508
04-15-2017,09:48,143,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.935,116.260,116.073,0.172
04-15-2017,10:48,144,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.927,116.232,116.095,0.478
04-15-2017,11:49,145,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.951,116.384,116.142,0.359
04-15-2017,12:49,146,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.888,116.386,116.151,0.484
04-15-2017,13:50,147,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.915,121.375,116.579,1.455
04-15-2017,14:50,148,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.992,116.385,116.122,0.302
04-15-2017,15:50,149,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.944,116.659,116.148,0.418
04-15-2017,16:51,150,12,planetlab3.cesnet.cz,planetlab2.cs.uml.edu,20,20,0,115.957,118.701,116.476,0.758
