Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,08:15,113,13,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.572,66.843,66.652,0.069
04-14-2017,09:15,114,13,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.469,67.235,66.659,0.177
04-14-2017,10:16,115,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.452,66.758,66.523,0.154
04-14-2017,11:16,116,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.323,66.842,66.515,0.366
04-14-2017,12:16,117,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.439,66.786,66.536,0.140
04-14-2017,13:17,118,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.407,67.205,66.574,0.272
04-14-2017,14:17,119,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.501,67.346,66.634,0.223
04-14-2017,15:17,120,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.479,66.945,66.609,0.241
04-14-2017,16:18,121,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.434,66.864,66.571,0.165
04-14-2017,17:18,122,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.382,67.080,66.617,0.337
04-14-2017,18:18,123,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.344,68.454,66.795,0.531
04-14-2017,19:19,124,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.506,68.072,66.688,0.398
04-14-2017,20:19,125,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.420,67.619,66.727,0.356
04-14-2017,21:19,126,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.474,68.046,66.879,0.455
04-14-2017,22:20,127,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.391,67.296,66.681,0.284
04-14-2017,23:20,128,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.423,67.211,66.650,0.407
04-15-2017,00:20,129,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.374,67.254,66.686,0.386
04-15-2017,01:21,130,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.461,67.364,66.684,0.230
04-15-2017,02:21,131,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.425,67.989,66.650,0.464
04-15-2017,03:21,132,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.446,66.995,66.574,0.157
04-15-2017,04:22,133,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.391,66.773,66.517,0.077
04-15-2017,05:22,134,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.474,67.009,66.555,0.295
04-15-2017,06:22,135,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.267,67.666,66.555,0.298
04-15-2017,07:23,136,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,19,5,66.467,67.050,66.569,0.206
04-15-2017,08:23,137,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.419,66.913,66.528,0.194
04-15-2017,09:23,138,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.463,66.898,66.544,0.269
04-15-2017,10:24,139,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.300,66.942,66.494,0.171
04-15-2017,11:24,140,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.288,66.853,66.503,0.190
04-15-2017,12:24,141,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.436,67.217,66.641,0.273
04-15-2017,13:25,142,12,planetlab4.cs.uoregon.edu,node2.planetlab.mathcs.emory.edu,20,20,0,66.437,66.900,66.548,0.332
