Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,07:46,113,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.cs.cmu.edu,20,19,5,119.671,120.566,119.867,0.385
04-14-2017,08:46,114,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.CS.CMU.EDU,20,20,0,119.628,121.640,119.895,0.515
04-14-2017,09:47,115,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.CS.CMU.EDU,20,20,0,119.478,120.248,119.827,0.273
04-14-2017,10:47,116,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.CS.CMU.EDU,20,20,0,119.555,120.034,119.800,0.386
04-14-2017,11:47,117,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.CS.CMU.EDU,20,20,0,119.582,120.893,119.856,0.385
04-14-2017,12:48,118,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.CS.CMU.EDU,20,20,0,119.624,119.972,119.794,0.478
04-14-2017,13:48,119,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.CS.CMU.EDU,20,20,0,119.507,119.974,119.750,0.321
04-14-2017,14:48,120,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.CS.CMU.EDU,20,20,0,119.469,120.022,119.626,0.438
04-14-2017,15:49,121,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.CS.CMU.EDU,20,20,0,119.435,120.079,119.713,0.319
04-14-2017,16:49,122,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.CS.CMU.EDU,20,20,0,119.548,119.875,119.647,0.172
04-14-2017,17:49,123,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.CS.CMU.EDU,20,18,10,119.417,119.997,119.731,0.373
04-14-2017,18:50,124,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.CS.CMU.EDU,20,20,0,119.497,119.879,119.656,0.214
04-14-2017,19:50,125,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.CS.CMU.EDU,20,20,0,119.560,119.968,119.722,0.347
04-14-2017,20:51,126,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.CS.CMU.EDU,20,20,0,119.535,119.853,119.637,0.140
04-14-2017,21:51,127,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.CS.CMU.EDU,20,20,0,119.490,119.900,119.693,0.194
04-14-2017,22:51,128,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.CS.CMU.EDU,20,20,0,119.550,120.056,119.772,0.372
04-14-2017,23:52,129,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.CS.CMU.EDU,20,20,0,119.551,120.100,119.727,0.480
04-15-2017,00:52,130,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.CS.CMU.EDU,20,20,0,119.529,120.091,119.731,0.469
04-15-2017,01:52,131,16,planetlab4.mini.pw.edu.pl,PLANETLAB-2.CMCL.CS.CMU.EDU,20,20,0,119.445,119.909,119.686,0.342
