Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,07:55,113,18,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,197.614,197.924,197.741,0.326
04-14-2017,08:56,114,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.322,199.641,199.457,0.159
04-14-2017,09:56,115,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.307,199.621,199.438,0.106
04-14-2017,10:56,116,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.349,199.799,199.519,0.594
04-14-2017,11:57,117,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.308,199.697,199.463,0.607
04-14-2017,12:57,118,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.319,199.629,199.437,0.572
04-14-2017,13:57,119,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.309,199.948,199.480,0.568
04-14-2017,14:58,120,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.346,199.710,199.474,0.477
04-14-2017,15:58,121,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.361,199.677,199.508,0.608
04-14-2017,16:59,122,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.262,199.663,199.451,0.388
04-14-2017,17:59,123,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.299,200.211,199.523,0.280
04-14-2017,18:59,124,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.303,199.645,199.472,0.624
04-14-2017,20:00,125,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.328,199.828,199.504,0.558
04-14-2017,21:00,126,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.293,200.163,199.553,0.483
04-14-2017,22:00,127,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.354,199.813,199.479,0.595
04-14-2017,23:01,128,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.311,199.662,199.460,0.605
04-15-2017,00:01,129,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.311,200.336,199.558,0.620
04-15-2017,01:01,130,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.347,200.614,199.623,0.533
04-15-2017,02:02,131,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.288,200.472,199.619,0.347
04-15-2017,03:02,132,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.371,199.860,199.553,0.507
04-15-2017,04:02,133,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.328,199.637,199.473,0.605
04-15-2017,05:03,134,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.286,199.654,199.447,0.605
04-15-2017,06:03,135,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.320,199.714,199.429,0.105
04-15-2017,07:03,136,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.313,199.659,199.452,0.384
04-15-2017,08:04,137,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.317,199.761,199.481,0.592
04-15-2017,09:04,138,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.304,199.725,199.419,0.608
04-15-2017,10:04,139,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.317,199.741,199.479,0.122
04-15-2017,11:05,140,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.281,199.586,199.416,0.587
04-15-2017,12:05,141,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.319,199.830,199.536,0.414
04-15-2017,13:05,142,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.350,199.807,199.497,0.125
04-15-2017,14:06,143,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.328,199.795,199.494,0.483
04-15-2017,15:06,144,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.314,199.697,199.468,0.361
04-15-2017,16:06,145,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.348,199.620,199.463,0.214
04-15-2017,17:07,146,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.337,199.741,199.513,0.095
04-15-2017,18:07,147,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.309,200.396,199.539,0.438
04-15-2017,19:07,148,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.325,199.764,199.502,0.465
04-15-2017,20:08,149,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.399,200.324,199.593,0.527
04-15-2017,21:08,150,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.330,199.761,199.486,0.303
04-15-2017,22:08,151,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.313,204.681,199.711,1.170
04-15-2017,23:09,152,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.326,199.772,199.489,0.461
04-16-2017,00:09,153,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.293,199.760,199.457,0.559
04-16-2017,01:09,154,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.301,199.718,199.475,0.411
04-16-2017,02:10,155,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.335,200.191,199.568,0.214
04-16-2017,03:10,156,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.275,199.765,199.444,0.484
04-16-2017,04:10,157,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.299,199.873,199.504,0.293
04-16-2017,05:11,158,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.327,200.525,199.527,0.617
04-16-2017,06:11,159,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.306,199.854,199.480,0.441
04-16-2017,07:11,160,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.304,200.132,199.578,0.263
04-16-2017,08:12,161,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.300,199.981,199.504,0.640
04-16-2017,09:12,162,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.330,199.997,199.511,0.548
04-16-2017,10:12,163,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.314,200.237,199.562,0.250
04-16-2017,11:13,164,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.281,199.729,199.464,0.274
04-16-2017,12:13,165,17,planetlab5.eecs.umich.edu,planetlab-n2.wand.net.nz,20,20,0,199.365,199.906,199.533,0.233
