Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,08:17,113,20,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,58.305,58.646,58.470,0.352
04-14-2017,09:18,114,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.140,79.395,79.334,0.352
04-14-2017,10:18,115,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.129,79.563,79.326,0.403
04-14-2017,11:19,116,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.148,79.462,79.339,0.307
04-14-2017,12:19,117,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.144,79.530,79.360,0.283
04-14-2017,13:20,118,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.143,79.609,79.366,0.341
04-14-2017,14:20,119,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.177,79.663,79.375,0.233
04-14-2017,15:20,120,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.141,79.647,79.370,0.153
04-14-2017,16:21,121,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.156,79.653,79.399,0.244
04-14-2017,17:21,122,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.170,79.666,79.403,0.158
04-14-2017,18:22,123,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.138,79.888,79.462,0.186
04-14-2017,19:22,124,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.147,79.684,79.386,0.280
04-14-2017,20:22,125,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.155,79.653,79.452,0.127
04-14-2017,21:23,126,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.165,81.942,79.641,0.754
04-14-2017,22:23,127,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.151,79.671,79.426,0.170
04-14-2017,23:24,128,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.219,79.755,79.436,0.214
04-15-2017,00:24,129,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.123,80.380,79.528,0.398
04-15-2017,01:24,130,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.155,80.579,79.445,0.368
04-15-2017,02:25,131,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.306,81.155,79.501,0.482
04-15-2017,03:25,132,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.138,79.520,79.353,0.254
04-15-2017,04:26,133,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.089,79.652,79.328,0.365
04-15-2017,05:26,134,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.161,79.714,79.395,0.253
04-15-2017,06:27,135,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.140,79.515,79.347,0.392
04-15-2017,07:27,136,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.134,79.646,79.326,0.264
04-15-2017,08:27,137,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.082,79.414,79.307,0.372
04-15-2017,09:28,138,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.118,79.622,79.347,0.243
04-15-2017,10:28,139,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.131,79.447,79.300,0.259
04-15-2017,11:29,140,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.148,79.452,79.354,0.175
04-15-2017,12:29,141,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.112,79.590,79.272,0.307
04-15-2017,13:29,142,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.173,79.532,79.344,0.271
04-15-2017,14:30,143,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.125,79.522,79.340,0.359
04-15-2017,15:30,144,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.130,79.552,79.369,0.226
04-15-2017,16:31,145,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.212,79.425,79.366,0.381
04-15-2017,17:31,146,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.142,79.576,79.356,0.330
04-15-2017,18:31,147,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.100,79.620,79.351,0.307
04-15-2017,19:32,148,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.124,79.444,79.270,0.395
04-15-2017,20:32,149,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.127,80.302,79.367,0.348
04-15-2017,21:33,150,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.141,79.661,79.351,0.330
04-15-2017,22:33,151,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.189,79.661,79.426,0.315
04-15-2017,23:33,152,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.234,79.653,79.449,0.247
04-16-2017,00:34,153,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.167,79.472,79.336,0.295
04-16-2017,01:34,154,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.146,79.633,79.375,0.251
04-16-2017,02:35,155,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.120,79.694,79.417,0.413
04-16-2017,03:35,156,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.150,79.735,79.389,0.206
04-16-2017,04:36,157,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.159,80.531,79.455,0.435
04-16-2017,05:36,158,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.136,79.639,79.357,0.176
04-16-2017,06:36,159,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.102,80.093,79.401,0.317
04-16-2017,07:37,160,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.225,79.604,79.394,0.355
04-16-2017,08:37,161,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.158,79.965,79.412,0.201
04-16-2017,09:38,162,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.135,79.853,79.407,0.184
04-16-2017,10:38,163,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.090,80.852,79.389,0.511
04-16-2017,11:38,164,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.130,79.576,79.328,0.273
04-16-2017,12:39,165,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.135,79.540,79.350,0.178
04-16-2017,13:39,166,22,plonk.cs.uwaterloo.ca,planetlab2.cs.ucla.edu,20,20,0,79.202,80.043,79.466,0.364
