Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,03:36,113,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.083,198.307,198.140,0.547
04-14-2017,04:37,114,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,201.266,268.108,242.156,16.674
04-14-2017,05:37,115,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.062,198.223,198.126,0.468
04-14-2017,06:38,116,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.014,198.159,198.095,0.508
04-14-2017,07:39,117,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.073,198.236,198.117,0.468
04-14-2017,08:39,118,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.075,198.249,198.148,0.581
04-14-2017,09:40,119,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.033,198.219,198.091,0.581
04-14-2017,10:40,120,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.075,198.207,198.125,0.423
04-14-2017,11:41,121,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.028,199.142,198.174,0.265
04-14-2017,12:41,122,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.046,198.214,198.118,0.598
04-14-2017,13:42,123,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.069,198.257,198.140,0.205
04-14-2017,14:42,124,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.070,198.194,198.123,0.488
04-14-2017,15:43,125,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.058,198.832,198.168,0.427
04-14-2017,16:43,126,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.048,198.195,198.112,0.509
04-14-2017,17:44,127,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.090,198.298,198.138,0.424
04-14-2017,18:44,128,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.092,220.889,208.314,9.108
04-14-2017,19:45,129,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.051,198.205,198.147,0.424
04-14-2017,20:45,130,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.061,198.290,198.136,0.548
04-14-2017,21:46,131,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.086,224.819,210.331,11.187
04-14-2017,22:46,132,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.067,198.213,198.120,0.598
04-14-2017,23:47,133,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.025,198.176,198.103,0.424
04-15-2017,00:47,134,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,217.826,263.803,240.146,11.133
04-15-2017,01:48,135,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.141,267.793,237.310,21.242
04-15-2017,02:48,136,21,ricepl-1.cs.rice.edu,cslab180.cs.aueb.gr,20,20,0,198.091,198.273,198.178,0.049
