Date (MM/DD/YYYY),Time (24Hr),Round Number,Hops_to_destination,Host,Destination,Sent Packets,Received Packets,Packet Loss,Min,Max,Average,Standard Deviation
04-14-2017,08:03,113,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,61.036,61.585,61.328,0.343
04-14-2017,09:04,114,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.994,61.590,61.300,0.249
04-14-2017,10:04,115,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.374,60.891,60.627,0.280
04-14-2017,11:04,116,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.348,60.948,60.654,0.313
04-14-2017,12:05,117,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.995,61.512,61.207,0.247
04-14-2017,13:05,118,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.980,61.562,61.264,0.214
04-14-2017,14:05,119,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,61.003,61.539,61.273,0.173
04-14-2017,15:06,120,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,61.151,62.027,61.416,0.398
04-14-2017,16:06,121,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.437,61.227,60.768,0.314
04-14-2017,17:06,122,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,61.066,61.725,61.387,0.201
04-14-2017,18:07,123,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.478,61.092,60.766,0.288
04-14-2017,19:07,124,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.402,61.049,60.749,0.360
04-14-2017,20:08,125,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.353,60.954,60.668,0.285
04-14-2017,21:08,126,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,61.067,61.693,61.328,0.256
04-14-2017,22:08,127,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,61.109,61.773,61.427,0.378
04-14-2017,23:09,128,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,61.158,61.666,61.387,0.159
04-15-2017,00:09,129,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,61.151,61.669,61.350,0.336
04-15-2017,01:09,130,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.947,61.543,61.226,0.365
04-15-2017,02:10,131,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,61.031,61.610,61.309,0.244
04-15-2017,03:10,132,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.522,61.770,61.129,0.345
04-15-2017,04:10,133,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.418,61.151,60.723,0.361
04-15-2017,05:11,134,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.378,61.183,60.799,0.249
04-15-2017,06:11,135,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,61.033,61.833,61.389,0.310
04-15-2017,07:11,136,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.505,61.629,61.122,0.454
04-15-2017,08:12,137,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.543,61.492,60.844,0.238
04-15-2017,09:12,138,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.434,61.283,60.701,0.227
04-15-2017,10:13,139,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.655,62.043,61.399,0.440
04-15-2017,11:13,140,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.461,61.107,60.715,0.182
04-15-2017,12:13,141,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,61.042,61.532,61.310,0.258
04-15-2017,13:14,142,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.428,60.915,60.666,0.343
04-15-2017,14:14,143,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,61.064,61.598,61.348,0.207
04-15-2017,15:15,144,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.437,61.050,60.680,0.341
04-15-2017,16:15,145,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,61.160,61.876,61.422,0.363
04-15-2017,17:15,146,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.501,61.019,60.705,0.310
04-15-2017,18:16,147,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.414,60.992,60.723,0.241
04-15-2017,19:16,148,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,61.098,61.790,61.403,0.230
04-15-2017,20:17,149,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.524,61.148,60.767,0.355
04-15-2017,21:17,150,22,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.450,61.403,60.849,0.373
04-15-2017,22:17,151,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.918,61.916,61.284,0.287
04-15-2017,23:18,152,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.427,61.132,60.671,0.216
04-16-2017,00:18,153,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.453,60.951,60.689,0.266
04-16-2017,01:19,154,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.422,61.309,60.763,0.374
04-16-2017,02:19,155,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.980,61.539,61.291,0.139
04-16-2017,03:19,156,17,salt.planetlab.cs.umd.edu,planetlab1.unr.edu,20,20,0,60.361,61.096,60.725,0.222
